,ship-service-level,Category,Amount
0,Standard,T-shirt,647.62
1,Standard,Shirt,406.0
2,Expedited,Shirt,329.0
3,Standard,Blazzer,753.33
4,Expedited,Trousers,574.0
5,Expedited,T-shirt,824.0
6,Expedited,T-shirt,653.0
7,Standard,Shirt,399.0
8,Expedited,T-shirt,
9,Expedited,Shirt,363.0
10,Expedited,Shirt,685.0
11,Expedited,Shirt,364.0
12,Standard,Shirt,399.0
13,Expedited,T-shirt,657.0
14,Standard,T-shirt,771.0
15,Standard,Shirt,544.0
16,Expedited,Shirt,329.0
17,Expedited,Shirt,399.0
18,Standard,Shirt,458.0
19,Expedited,T-shirt,886.0
20,Expedited,Shirt,517.0
21,Expedited,T-shirt,666.0
22,Expedited,Shirt,376.0
23,Standard,T-shirt,570.48
24,Expedited,Shirt,499.0
25,Standard,T-shirt,582.0
26,Standard,Shirt,299.0
27,Expedited,Shirt,459.0
28,Expedited,Shirt,399.0
29,Standard,Shirt,
30,Expedited,Blazzer,791.0
31,Expedited,Shirt,499.0
32,Standard,T-shirt,1233.0
33,Standard,Shirt,517.0
34,Expedited,Shirt,376.0
35,Standard,Shirt,499.0
36,Expedited,T-shirt,666.0
37,Expedited,Shirt,487.0
38,Expedited,Shirt,368.0
39,Expedited,Shirt,399.0
40,Expedited,Perfume,699.0
41,Expedited,Blazzer,885.0
42,Standard,Shirt,424.0
43,Expedited,T-shirt,1126.0
44,Expedited,T-shirt,788.0
45,Expedited,T-shirt,759.0
46,Expedited,T-shirt,1146.0
47,Expedited,Trousers,665.0
48,Expedited,Shirt,429.0
49,Standard,Shirt,399.0
50,Expedited,T-shirt,848.0
51,Expedited,T-shirt,654.0
52,Expedited,T-shirt,1033.0
53,Expedited,Shirt,390.0
54,Expedited,Trousers,493.0
55,Expedited,Blazzer,721.0
56,Expedited,T-shirt,597.0
57,Expedited,Shirt,399.0
58,Expedited,T-shirt,888.0
59,Expedited,Shirt,353.0
60,Standard,T-shirt,599.0
61,Expedited,Shirt,518.0
62,Expedited,Shirt,295.0
63,Expedited,T-shirt,852.0
64,Expedited,T-shirt,824.0
65,Expedited,Shirt,
66,Expedited,T-shirt,909.0
67,Expedited,Trousers,432.0
68,Expedited,T-shirt,545.0
69,Expedited,T-shirt,1146.0
70,Standard,Shirt,696.0
71,Expedited,Shirt,432.0
72,Standard,T-shirt,631.0
73,Expedited,Shirt,316.0
74,Standard,Shirt,362.0
75,Expedited,Shirt,329.0
76,Expedited,Shirt,399.0
77,Expedited,T-shirt,751.0
78,Expedited,Blazzer,791.0
79,Expedited,T-shirt,684.0
80,Expedited,T-shirt,1281.0
81,Expedited,T-shirt,1186.0
82,Expedited,Shirt,499.0
83,Standard,T-shirt,1105.36
84,Expedited,Shirt,
85,Standard,Socks,377.0
86,Expedited,Blazzer,744.0
87,Expedited,Blazzer,744.0
88,Standard,Blazzer,859.0
89,Expedited,Shirt,487.0
90,Expedited,Blazzer,825.0
91,Expedited,T-shirt,680.0
92,Standard,Shirt,725.0
93,Expedited,T-shirt,696.0
94,Expedited,Shirt,499.0
95,Expedited,Shirt,
96,Expedited,T-shirt,696.0
97,Expedited,Shirt,406.0
98,Expedited,T-shirt,852.0
99,Expedited,Shirt,399.0
100,Expedited,Shirt,432.0
101,Expedited,T-shirt,
102,Standard,T-shirt,1338.0
103,Standard,Blazzer,472.0
104,Expedited,T-shirt,788.0
105,Standard,T-shirt,832.0
106,Standard,Shirt,399.0
107,Expedited,T-shirt,599.0
108,Expedited,T-shirt,692.0
109,Standard,Trousers,518.0
110,Expedited,T-shirt,788.0
111,Expedited,Shirt,318.0
112,Expedited,T-shirt,597.0
113,Expedited,T-shirt,888.0
114,Expedited,Shirt,406.0
115,Expedited,T-shirt,1186.0
116,Expedited,Blazzer,791.0
117,Expedited,Blazzer,807.0
118,Expedited,Blazzer,807.0
119,Expedited,Shirt,311.0
120,Expedited,Trousers,387.0
121,Expedited,Shirt,348.0
122,Standard,T-shirt,597.0
123,Standard,T-shirt,549.0
124,Expedited,T-shirt,635.0
125,Expedited,T-shirt,597.0
126,Expedited,T-shirt,790.0
127,Expedited,Shirt,375.0
128,Expedited,T-shirt,1115.0
129,Standard,Shirt,579.0
130,Expedited,T-shirt,788.0
131,Expedited,T-shirt,597.0
132,Expedited,T-shirt,
133,Expedited,Shirt,517.0
134,Expedited,Shirt,442.0
135,Expedited,Shirt,399.0
136,Expedited,Shirt,518.0
137,Expedited,Shirt,348.0
138,Standard,T-shirt,788.0
139,Expedited,Trousers,
140,Expedited,T-shirt,597.0
141,Expedited,Shirt,696.0
142,Expedited,Shirt,363.0
143,Standard,Shirt,299.0
144,Expedited,Blazzer,690.0
145,Expedited,Trousers,574.0
146,Standard,T-shirt,1399.0
147,Standard,T-shirt,999.0
148,Expedited,T-shirt,999.0
149,Expedited,Shirt,487.0
150,Standard,Shirt,376.0
151,Expedited,T-shirt,1115.0
152,Expedited,T-shirt,517.0
153,Expedited,T-shirt,1126.0
154,Expedited,Blazzer,725.0
155,Expedited,Shirt,
156,Expedited,Blazzer,721.0
157,Expedited,T-shirt,666.0
158,Expedited,T-shirt,496.0
159,Standard,Shirt,353.0
160,Standard,Shirt,399.0
161,Expedited,Shirt,458.0
162,Expedited,T-shirt,1115.0
163,Expedited,Perfume,845.0
164,Standard,Shirt,399.0
165,Expedited,Shirt,
166,Expedited,Shirt,517.0
167,Expedited,Shirt,517.0
168,Expedited,Shirt,599.0
169,Expedited,Trousers,487.0
170,Expedited,Trousers,487.0
171,Expedited,T-shirt,568.0
172,Standard,Shirt,399.0
173,Expedited,Shirt,295.0
174,Expedited,Shirt,484.0
175,Expedited,T-shirt,626.0
176,Expedited,T-shirt,563.0
177,Standard,Trousers,387.0
178,Standard,Trousers,463.81
179,Expedited,Trousers,512.0
180,Expedited,T-shirt,1112.0
181,Expedited,T-shirt,626.0
182,Expedited,Shirt,376.0
183,Expedited,Blazzer,859.0
184,Expedited,T-shirt,597.0
185,Expedited,Shirt,329.0
186,Standard,T-shirt,583.0
187,Expedited,Blazzer,665.0
188,Expedited,T-shirt,582.0
189,Expedited,T-shirt,1126.0
190,Expedited,Shirt,534.0
191,Expedited,Shirt,319.0
192,Expedited,Shirt,368.0
193,Expedited,T-shirt,597.0
194,Expedited,T-shirt,654.0
195,Expedited,Shirt,795.0
196,Standard,Blazzer,744.0
197,Expedited,Shirt,692.0
198,Expedited,Trousers,563.0
199,Expedited,Trousers,545.0
200,Expedited,T-shirt,999.0
201,Expedited,T-shirt,653.0
202,Standard,Shirt,399.0
203,Expedited,T-shirt,
204,Expedited,Shirt,363.0
205,Expedited,Shirt,685.0
206,Expedited,Shirt,364.0
207,Standard,Shirt,399.0
208,Expedited,T-shirt,657.0
209,Expedited,T-shirt,449.0
210,Expedited,Shirt,375.0
211,Expedited,T-shirt,771.0
212,Expedited,Shirt,399.0
213,Standard,Shirt,0.0
214,Expedited,T-shirt,654.0
215,Expedited,Shirt,424.0
216,Expedited,Blazzer,
217,Expedited,Trousers,432.0
218,Standard,Trousers,399.0
219,Expedited,Shirt,399.0
220,Expedited,T-shirt,597.0
221,Expedited,Trousers,463.0
222,Expedited,Shirt,484.0
223,Expedited,Shirt,635.0
224,Expedited,Shirt,685.0
225,Standard,Blazzer,725.0
226,Expedited,Trousers,487.0
227,Standard,T-shirt,1249.11
228,Standard,T-shirt,1058.93
229,Expedited,T-shirt,696.0
230,Expedited,Shirt,329.0
231,Expedited,Shirt,517.0
232,Expedited,T-shirt,591.0
233,Expedited,Shirt,406.0
234,Expedited,T-shirt,684.0
235,Expedited,T-shirt,1115.0
236,Standard,T-shirt,999.0
237,Standard,Shirt,295.0
238,Expedited,Shirt,442.0
239,Expedited,T-shirt,563.0
240,Expedited,Shirt,435.0
